date,open,high,low,close,5ma,20ma,60ma,120ma,trading
2021-03-24,"36,676","37,204","36,214","36,280","37,968.80","41,151.65","40,154.22","34,546.74","374,153"
2021-03-25,"36,016","37,270","35,950","37,138","37,625.80","40,976.85","40,258.03","34,624.01","334,894"
2021-03-26,"37,270","37,270","35,950","36,214","36,992.60","40,643.70","40,322.18","34,696.00","390,785"
2021-03-29,"36,214","36,676","35,489","35,686","36,464.80","40,307.25","40,368.90","34,753.88","366,238"
2021-03-30,"35,884","36,280","35,752","35,884","36,240.40","39,901.55","40,413.97","34,810.98","285,808"
2021-03-31,"36,148","38,193","36,148","37,731","36,530.60","39,502.45","40,496.42","34,883.21","527,892"
2021-04-01,"38,259","38,721","37,731","38,193","36,741.60","39,106.65","40,545.88","34,955.24","329,932"
2021-04-02,"38,787","38,985","38,193","38,457","37,190.20","38,727.35","40,606.35","35,025.97","279,269"
2021-04-05,"38,655","39,380","38,457","39,249","37,902.80","38,529.50","40,682.22","35,094.93","259,289"
2021-04-06,"39,315","39,908","39,117","39,776","38,681.20","38,486.60","40,734.98","35,169.37","279,576"
2021-04-07,"40,040","40,040","39,249","39,710","39,077.00","38,460.20","40,753.67","35,248.38","205,080"
2021-04-08,"39,710","39,776","39,249","39,249","39,288.20","38,367.85","40,722.88","35,332.71","196,758"
2021-04-09,"40,106","42,349","39,710","41,887","39,974.20","38,400.85","40,743.77","35,438.76","804,632"
2021-04-12,"42,877","43,866","42,019","43,206","40,765.60","38,532.75","40,794.33","35,550.13","783,710"
2021-04-13,"43,140","43,140","42,349","43,074","41,425.20","38,687.75","40,799.82","35,670.12","391,112"
2021-04-14,"43,074","43,074","42,019","42,085","41,900.20","38,869.15","40,797.62","35,782.94","394,114"
2021-04-15,"41,953","42,349","41,557","42,019","42,454.20","39,027.45","40,799.82","35,893.87","305,661"
2021-04-16,"42,151","42,349","41,030","42,283","42,533.40","39,172.60","40,795.42","36,017.24","337,876"
2021-04-19,"42,943","45,845","42,679","44,592","42,810.60","39,485.95","40,829.50","36,166.33","970,985"
2021-04-20,"44,790","45,383","44,196","44,987","43,193.20","39,885.00","40,882.27","36,332.47","464,662"
2021-04-21,"44,658","45,251","44,394","45,053","43,786.80","40,323.65","40,957.02","36,493.22","318,736"
